lati,longi,MAT,mTCM,ART,PSN,TOPO,DEMSTD,languages,endemic.languages,Sino.Tibetan,Altaic,Austronesian,Austroasiatic,PD,NRI,river123,river4,river5,river_all,broad.leave,shrub,grassland,agricultural,coniferous,forest,veg_rich,veg_SN
22.9863,111.031,21.480927,8.502419,23.748637,66.677795,820,135.49,2,0,2,0,0,0,5,1.456297106,0,0,189.3742,189.3742,1289.14,0,0,730.029,480.8343,1769.9743,3,1.14513794
22.9517,111.498,21.648227,8.794099,23.562756,67.331856,757,141.593,2,0,2,0,0,0,5,1.456297106,13.5438,0,42.8911,56.4349,1394.407,0,0,595.97577,407.61,1802.017,3,1.096196696
22.9145,111.966,21.79314,9.202594,23.109079,67.356995,1027,142.912,1,0,1,0,0,0,0,NA,107.0884,0,61.0062,168.0946,0,3.50467,0,490.9505,498.4162,498.4162,3,0.962480656
22.8748,112.432,22.321748,9.98409,22.734517,67.649368,626,87.9224,1,0,1,0,0,0,0,NA,44.1919,0,120.2253,164.4172,126.732,0,0,806.662,69.1378,195.8698,3,0.878092582
22.8325,112.898,22.321094,9.97788,22.628,68.353844,678,90.4601,1,0,1,0,0,0,0,NA,254.6288,0,77.9559,332.5847,0,0,0,1886.9,0,0,1,0.210523762
22.7876,113.364,22.527936,10.182478,22.492436,68.467125,259,12.4721,1,0,1,0,0,0,0,NA,584.4922,0,40.7146,625.2068,8.22345,76.8231,0,2040.03,0,8.22345,3,0.366844523
22.7403,113.829,22.4657,10.195576,22.050333,70.153664,473,55.4216,2,1,1,0,0,0,2,3.083327875,18.1966,0,67.1333,85.3299,0,1025.873333,0,800.75,0,0,2,0.864664866
22.6904,114.293,22.212105,10.471824,20.95956,73.059723,827,117.687,2,1,1,0,0,0,2,3.083327875,0,0,89.1801,89.1801,0,1347.9842,0,811.725,0,0,2,0.824849188
23.4423,99.2537,18.587196,4.044493,23.974628,86.793579,2387,480.737,8,0,6,0,0,2,23,0.971125309,0,0,64.6874,64.6874,1798.1569,65.6501,0,635.809,0.388127,1798.545027,4,0.829902757
23.4728,99.7248,17.32953,3.061728,23.439015,86.157951,2165,406.53,9,0,7,0,0,2,23,1.402120768,0,0,84.104,84.104,1270.36364,653.60761,0,354.3237,221.705,1492.06864,4,1.313323123
23.5007,100.196,18.060606,3.998552,23.273502,85.966331,1982,386.34,5,0,4,0,0,1,16,1.082347893,57.7336,0,7.2233,64.9569,1045.08847,833.905,0,0,621.0069441,1666.095414,3,1.209079994
23.5261,100.668,18.64008,4.785762,23.144704,85.56916,1524,284.057,4,0,4,0,0,0,11,1.816366382,0,0,71.246,71.246,503.93753,558.9614,0,0,1437.1009,1941.03843,3,1.113491795
23.5488,101.14,17.72964,4.257157,22.65106,85.787804,1899,352.691,7,0,7,0,0,0,17,2.718006226,58.5975,0,0,58.5975,369.971,857.5693,0,0,1272.45947,1642.43047,3,1.130959751
23.5689,101.613,18.785628,5.657557,22.380533,84.033737,1948,387.611,7,1,7,0,0,0,17,2.957594832,8.9727,0,56.1631,65.1358,424.148,616.4448,0,260.029,1199.38,1623.528,4,1.361431836
23.5864,102.085,20.035744,7.217418,22.170544,81.59919,2076,470.806,7,1,7,0,0,0,17,2.957594832,69.508,0,37.654,107.162,544.75317,1418.2478,0,0,536.9994,1081.75257,3,1.123368112
23.6012,102.558,18.171481,5.668653,21.6666,85.315155,2180,304.674,8,1,8,0,0,0,19,2.996975831,16.4222,0,91.039,107.4612,0,1590.837,0,299.2912,563.286,563.286,3,1.022242627
23.6135,103.031,18.195627,5.839758,21.613489,85.127144,1475,283.512,6,0,6,0,0,0,15,2.360794869,12.0554,0,79.87,91.9254,0,1944.1956,0,250.445,305.3566027,305.3566027,3,0.837531302
23.6231,103.504,16.760889,4.544665,21.314204,82.469536,1689,321.092,7,0,7,0,0,0,17,2.653299988,4.8546,19.7596,48.4752,73.0894,850.039,1307.18152,0,342.778,0,850.039,3,1.120175067
23.6301,103.978,16.910004,4.746123,21.191339,78.736824,1002,150.343,7,1,7,0,0,0,18,2.540887156,0,82.5256,0,82.5256,1297.14,1202.857,0,0,0,1297.14,2,0.848383892
23.6344,104.451,16.451248,4.125169,21.541364,78.965584,807,117.722,8,2,7,0,0,1,23,2.552757646,0,35.0701,47.0189,82.089,19.43412,2144.5999,0,335.9663,0,19.43412,3,0.607690642
23.6362,104.925,16.612888,4.076417,22.077496,80.796219,1200,221.664,10,3,9,0,0,1,25,3.605172007,0,63.5223,0,63.5223,28.6378,2280.43,0,190.9318895,0,28.6378,3,0.506180479
23.6353,105.398,17.170724,4.631656,22.327814,82.988098,1185,216.397,12,5,11,0,0,1,28,3.615344346,0,20.0842,30.344,50.4282,34.2282,2277.163462,0,188.604,0,34.2282,3,0.514070597
23.6318,105.871,19.382773,7.079744,22.451817,82.729813,1247,250.808,9,4,9,0,0,0,21,3.222817244,0,0,103.3607,103.3607,873.175,1336.0334,0,290.7918,0,873.175,3,1.099330917
23.6256,106.345,19.611003,7.15747,22.731123,80.716019,1376,254.336,9,4,9,0,0,0,21,3.222817244,0,0,26.6784,26.6784,1910.8981,498.353,0,0,90.753,2001.6511,3,0.809572866
23.6168,106.818,21.466454,8.720941,23.428268,75.491768,1120,261.489,5,2,5,0,0,0,15,2.041055987,83.9649,0,42.986,126.9509,1767.68,277.5323,0,447.7094,7.08228,1774.76228,4,0.968785729
23.6054,107.291,21.700404,8.858294,23.604585,71.848953,865,154.334,3,1,3,0,0,0,8,2.008168417,61.3213,0,52.8787,114.2,1193.27,617.882,0,512.526,176.32265,1369.59265,4,1.346745445
23.5914,107.764,21.442967,8.579879,23.625337,68.886269,561,105.174,3,1,3,0,0,0,8,2.008168417,34.05,0,51.8716,85.9216,950.388,641.63622,0,907.9769,0,950.388,3,1.227804536
23.5747,108.237,21.026921,8.141509,23.674562,66.199463,1298,213.355,7,3,7,0,0,0,14,4.218742396,11.8043,0,70.5781,82.3824,1571.6732,260.5253,0,326.26279,341.539,1913.2122,4,1.21001437
